Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number,Assigned SKU,Assigned Manufacturer Part Number,Assigned Manufacturer Name,Design Risk Score,Market Availability,Reach Compliant,ROHS Compliant,Status,Price Range
1,04025U0R7BAT2A,C0(0.7PF),04025U0R7BAT2A,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .7pf C0G 0402 .1pF Tol,Kyocera AVX,04025U0R7BAT2A,04025U0R7BAT2A-2020407562,04025U0R7BAT2A,KYOCERA AVX,8,4,,,Active,$0.01708-$0.01891
1,(0.47uF)C3216X7R2A474K160AA,C1(0.47UF)1,C3216X7R2A474K160AA,"TDK C3216 C 470nF Ceramic Multilayer Capacitor, 100 V dc, +125C, X7R Dielectric, +/-10% SMD",TDK,C3216X7R2A474K160AA,C3216X7R2A474K160AA-1274825567,C3216X7R2A474K160AA,TDK Corporation,10,8,,,Active,$0.10031-$0.11465
1,(0.47uF)C3216X7R2A474K160AA,C1(0.47UF),C3216X7R2A474K160AA,"TDK C3216 C 470nF Ceramic Multilayer Capacitor, 100 V dc, +125C, X7R Dielectric, +/-10% SMD",TDK,C3216X7R2A474K160AA,C3216X7R2A474K160AA-1274825567,C3216X7R2A474K160AA,TDK Corporation,10,8,,,Active,$0.10031-$0.11465
1,C0603G104K5RACT250,C9(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.73584-$0.73584
1,C0603G104K5RACT250,C10(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.73584-$0.73584
1,C0603G104K5RACT250,C14(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.73584-$0.73584
1,C0603G104K5RACT250,C15(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.73584-$0.73584
1,C0603G104K5RACT250,C16(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.73584-$0.73584
1,C3216X5R2J102M115AA,C17(1NF),C3216X5R2J102M115AA,"MULTILAYER CERAMIC CHIP CAPACITORS, 3216, Commercial grade, general (Up to 75V)",TDK,C3216X5R2J102M115AA,C3216X5R2J102M115AA-1274825505,C3216X5R2J102M115AA,TDK Corporation,1,0,,,NRFND,
1,C0603G104K5RACT250,C23(0.1UF),C0603G104K5RACT250,"SMD Indust X7R HT175C, Ceramic, 0.1 uF, 10%, 50 VDC, 125 VDC, 175C, -55C, X7R, SMD, MLCC, High Temperature, Class II, 2.5 % , 5 GOhms, 4.8 mg, 0603, 1.6mm, 0.8mm, 0.8mm, 0.7mm, 0.35mm, 250, 78  Weeks, 80",KEMET,C0603G104K5RACT250,C0603G104K5RACT250-7024224855,C0603G104K5RACT250,KEMET Corporation,9,2,,,Active,$0.73584-$0.73584
